project_name,project_slug,category_sort,category_name,selection_type,option_sort,option_name,option_description,price_min,price_max,active,category_condition_category_slug,category_condition_option_slugs,category_condition_match,option_condition_category_slug,option_condition_option_slugs,option_condition_match
Bathroom Remodel,bathroom-remodel,3,Layout Changes,single,3,Move Structural Wall,Beam needed,8000,16000,1,remodel-level,standard-remodel|full-gut-remodel,any,remodel-level,full-gut-remodel,any
Bathroom Remodel,bathroom-remodel,4,Shower or Tub,single,1,Keep Existing Shower or Tub,No fixture replacement,0,0,1,bathroom-size,standard-bathroom|primary-bathroom,any,,,
Bathroom Remodel,bathroom-remodel,4,Shower or Tub,single,2,Refinish Existing Tub or Shower,Refresh existing fixture,400,900,1,bathroom-size,standard-bathroom|primary-bathroom,any,,,
Bathroom Remodel,bathroom-remodel,4,Shower or Tub,single,3,New Tub Shower,Standard combo,3500,7250,1,bathroom-size,standard-bathroom|primary-bathroom,any,remodel-level,standard-remodel|full-gut-remodel,any
Bathroom Remodel,bathroom-remodel,4,Shower or Tub,single,4,New Walk-in Shower,Tile shower,6000,12750,1,bathroom-size,standard-bathroom|primary-bathroom,any,remodel-level,standard-remodel|full-gut-remodel,any
Bathroom Remodel,bathroom-remodel,5,Vanity,single,1,Keep Existing Vanity,No vanity work,0,0,1,,,,,,
Bathroom Remodel,bathroom-remodel,5,Vanity,single,2,Basic Vanity,Simple cabinet,800,1700,1,,,,,,
Bathroom Remodel,bathroom-remodel,5,Vanity,single,3,Double Vanity,Two sinks,2000,4800,1,,,,bathroom-size,standard-bathroom|primary-bathroom,any
Bathroom Remodel,bathroom-remodel,5,Vanity,single,4,Custom Vanity,Built custom,4500,8250,1,,,,,,
Bathroom Remodel,bathroom-remodel,6,Optional Add Ons,multiple,1,Tile Floor,New tile,1200,3000,1,,,,,,
Bathroom Remodel,bathroom-remodel,6,Optional Add Ons,multiple,2,Heated Floor,Warm floor,1200,3000,1,,,,,,
Bathroom Remodel,bathroom-remodel,6,Optional Add Ons,multiple,3,New Bathroom Fan,Better air,400,1050,1,,,,,,
Bathroom Remodel,bathroom-remodel,6,Optional Add Ons,multiple,4,Glass Door,Shower glass,700,2000,1,,,,shower-or-tub,new-walk-in-shower,any
Cabinetry,cabinetry,1,Project Type,single,1,Cabinet Repair,Fix cabinets,300,950,1,,,,,,
Cabinetry,cabinetry,1,Project Type,single,2,Cabinet Reface,New fronts,4000,7500,1,,,,,,
Cabinetry,cabinetry,1,Project Type,single,3,New Cabinets,Replace all,6500,11250,1,,,,,,
Cabinetry,cabinetry,2,Cabinet Area,single,1,Small Cabinet Area,Bathroom or small cabinet area,0,1800,1,,,,,,
Cabinetry,cabinetry,2,Cabinet Area,single,2,Standard Kitchen,Typical kitchen layout,2000,5500,1,,,,,,
Cabinetry,cabinetry,2,Cabinet Area,single,3,Large Kitchen,Large layout with more storage,5000,12000,1,,,,,,
Cabinetry,cabinetry,3,Cabinet Grade,single,1,Stock Cabinets,Budget line,0,2500,1,project-type,new-cabinets,any,,,
Cabinetry,cabinetry,3,Cabinet Grade,single,2,Semi-custom,Better fit,3500,6000,1,project-type,new-cabinets,any,,,
Cabinetry,cabinetry,3,Cabinet Grade,single,3,Custom Cabinets,Built to fit,8000,16000,1,project-type,new-cabinets,any,,,
Cabinetry,cabinetry,4,Optional Add Ons,multiple,1,Soft-close Hardware,Upgrade doors and drawers,300,750,1,,,,project-type,cabinet-reface|new-cabinets,any
Cabinetry,cabinetry,4,Optional Add Ons,multiple,2,Pull-out Storage,Add accessible cabinet storage,500,1700,1,,,,project-type,cabinet-reface|new-cabinets,any
Cabinetry,cabinetry,4,Optional Add Ons,multiple,3,Crown Molding,Add finished upper trim,400,1400,1,,,,project-type,new-cabinets,any
Cabinetry,cabinetry,4,Optional Add Ons,multiple,4,Cabinet Painting,Paint existing cabinet surfaces,1500,5000,1,,,,project-type,cabinet-repair|cabinet-reface,any
Cabinetry,cabinetry,4,Optional Add Ons,multiple,5,New Knobs and Pulls,Replace visible cabinet hardware,300,1500,1,,,,project-type,cabinet-repair|cabinet-reface|new-cabinets,any
Cabinetry,cabinetry,4,Optional Add Ons,multiple,6,Interior Shelf Replacement,Replace damaged cabinet shelves,300,1200,1,,,,project-type,cabinet-repair,any
Cabinetry,cabinetry,4,Optional Add Ons,multiple,7,Door or Drawer Replacement,Replace damaged cabinet parts,400,1800,1,,,,project-type,cabinet-repair,any
Concrete,concrete,1,Concrete Project,single,1,Small Concrete Repair,Repair cracks or small damage,400,1500,1,,,,,,
Concrete,concrete,1,Concrete Project,single,2,Walkway Patio or Pad,Small concrete flatwork,1800,3900,1,,,,,,
Concrete,concrete,1,Concrete Project,single,3,Concrete Driveway,New or replacement driveway,4500,8250,1,,,,,,
Concrete,concrete,2,Size,single,1,Small Area,Under 200 square feet,0,1500,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Concrete,concrete,2,Size,single,2,Medium Area,200 to 600 square feet,1500,3900,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Concrete,concrete,2,Size,single,3,Large Area,Over 600 square feet,4000,9000,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Concrete,concrete,3,Finish Type,single,1,Standard Broom Finish,Slip-resistant standard finish,0,0,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Concrete,concrete,3,Finish Type,single,2,Colored Concrete,Add integral concrete color,700,2400,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Concrete,concrete,3,Finish Type,single,3,Stamped Concrete,Add a decorative pattern,1800,5000,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Concrete,concrete,4,Optional Add Ons,multiple,1,Remove Existing Concrete,Demolish and dispose of old concrete,800,3500,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,concrete-project,walkway-patio-or-pad|concrete-driveway,any
Concrete,concrete,4,Optional Add Ons,multiple,2,Drainage and Grading Prep,Improve slope and water control,500,3000,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,concrete-project,walkway-patio-or-pad|concrete-driveway,any
Concrete,concrete,4,Optional Add Ons,multiple,3,Reinforcement Upgrade,Add stronger reinforcement,400,1650,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,concrete-project,walkway-patio-or-pad|concrete-driveway,any
Concrete,concrete,4,Optional Add Ons,multiple,4,Concrete Sealer,Protect the finished concrete,400,1500,1,concrete-project,walkway-patio-or-pad|concrete-driveway,any,,,
Countertops,countertops,1,Material,single,1,Laminate,Budget top,900,2200,1,,,,,,
Countertops,countertops,1,Material,single,2,Butcher Block,Wood top,1600,3700,1,,,,,,
Countertops,countertops,1,Material,single,3,Quartz,Popular choice,2500,5500,1,,,,,,
Countertops,countertops,1,Material,single,4,Natural Stone,Stone slab,4000,7750,1,,,,,,
Countertops,countertops,2,Counter Area,single,1,Small Kitchen,Less surface,0,900,1,,,,,,
Countertops,countertops,2,Counter Area,single,2,Standard Kitchen,Typical area,900,2500,1,,,,,,
Countertops,countertops,2,Counter Area,single,3,Large Kitchen,More surface,1800,4500,1,,,,,,
Countertops,countertops,3,Edge,single,1,Standard Edge,Simple finished edge,0,0,1,,,,,,
Countertops,countertops,3,Edge,single,2,Decorative Edge,Upgraded finished edge,400,1200,1,,,,,,
Countertops,countertops,4,Optional Add Ons,multiple,1,Undermount Sink Cutout,Cut and finish sink opening,250,700,1,,,,material,quartz|natural-stone,any
Countertops,countertops,4,Optional Add Ons,multiple,2,Matching Backsplash,Add matching backsplash,500,1950,1,,,,material,laminate|butcher-block,any
Countertops,countertops,4,Optional Add Ons,multiple,3,Remove Existing Countertops,Remove and dispose of old tops,300,1000,1,,,,,,
Countertops,countertops,4,Optional Add Ons,multiple,4,Sink and Faucet Reconnect,Reconnect existing plumbing fixtures,400,1200,1,,,,,,
Countertops,countertops,4,Optional Add Ons,multiple,5,Butcher Block Sealing,Protect and finish the wood,300,900,1,,,,material,butcher-block,any
Countertops,countertops,4,Optional Add Ons,multiple,6,Natural Stone Sealing,Seal and protect the stone,300,900,1,,,,material,natural-stone,any
Countertops,countertops,4,Optional Add Ons,multiple,7,Waterfall Edge,Extend quartz down the cabinet side,1500,4500,1,,,,material,quartz,any
Deck,deck,1,Deck Project,single,1,Deck Repair,Fix boards,500,1750,1,,,,,,
Deck,deck,1,Deck Project,single,2,Deck Resurface,New surface,2800,6750,1,,,,,,
Deck,deck,1,Deck Project,single,3,New Deck,Build new,6500,11250,1,,,,,,
Deck,deck,2,Deck Size,single,1,Small Deck,Under 200 sf,0,3000,1,deck-project,deck-resurface|new-deck,any,,,
Deck,deck,2,Deck Size,single,2,Medium Deck,200-400 sf,4700,7250,1,deck-project,deck-resurface|new-deck,any,,,
Deck,deck,2,Deck Size,single,3,Large Deck,400+ sf,10000,17000,1,deck-project,deck-resurface|new-deck,any,,,
Deck,deck,3,Deck Material,single,1,Pressure Treated,Basic wood,0,1800,1,deck-project,deck-resurface|new-deck,any,,,
Deck,deck,3,Deck Material,single,2,Cedar Decking,Nicer wood,1800,4800,1,deck-project,deck-resurface|new-deck,any,,,
Deck,deck,3,Deck Material,single,3,Composite Decking,Low maintenance,4000,9250,1,deck-project,deck-resurface|new-deck,any,,,
Deck,deck,4,Optional Add Ons,multiple,1,Railing Repair or Upgrade,Repair or replace deck railing,1200,4800,1,,,,deck-project,deck-repair|deck-resurface|new-deck,any
Deck,deck,4,Optional Add Ons,multiple,2,Stair Repair or New Stairs,Repair or add deck stairs,800,3300,1,,,,deck-project,deck-repair|deck-resurface|new-deck,any
Deck,deck,4,Optional Add Ons,multiple,3,Deck Stain or Seal,Protect the finished deck,800,3500,1,,,,deck-project,deck-repair|deck-resurface,any
Deck,deck,4,Optional Add Ons,multiple,4,Remove Existing Deck,Demolish and dispose of old deck,800,3500,1,,,,deck-project,new-deck,any
Deck,deck,4,Optional Add Ons,multiple,5,Structural Framing Repair,Repair damaged deck framing,1000,5000,1,,,,deck-project,deck-repair|deck-resurface,any
Deck,deck,4,Optional Add Ons,multiple,6,Deck Lighting,Add low-voltage deck lighting,600,2500,1,,,,deck-project,new-deck,any
Electrical,electrical,1,Electrical Project,single,1,Small Repair,Fix issue,200,750,1,,,,,,
Electrical,electrical,1,Electrical Project,single,2,Room Updates,Outlets lights,600,1800,1,,,,,,
Electrical,electrical,1,Electrical Project,single,3,Panel or Service Upgrade,Panel or service work,1200,2500,1,,,,,,
Electrical,electrical,1,Electrical Project,single,4,Level 2 EV Charger,Home charging circuit,1200,3500,1,,,,,,
Electrical,electrical,2,Scope,single,1,One Electrical Issue,Single repair or diagnosis,0,250,1,,,,electrical-project,small-repair,any
Electrical,electrical,2,Scope,single,2,Several Small Issues,Multiple minor repairs,300,1000,1,,,,electrical-project,small-repair,any
Electrical,electrical,2,Scope,single,3,Inspection and Repairs,Safety review and fixes,250,1200,1,,,,electrical-project,small-repair,any
Electrical,electrical,2,Scope,single,4,One Room,Update one room,0,800,1,,,,electrical-project,room-updates,any
Electrical,electrical,2,Scope,single,5,Several Rooms,Update several rooms,800,2800,1,,,,electrical-project,room-updates,any
Electrical,electrical,2,Scope,single,6,Whole-Home Updates,Larger wiring scope,3000,9000,1,,,,electrical-project,room-updates,any
Electrical,electrical,2,Scope,single,7,Add Subpanel,New secondary panel,0,1800,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,2,Scope,single,8,Replace Main Panel,New breaker panel,1500,3500,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,2,Scope,single,9,Upgrade to 200-Amp Service,Larger electrical service,2500,5000,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,2,Scope,single,10,Charger Near Panel,Short circuit run,0,500,1,,,,electrical-project,level-2-ev-charger,any
Electrical,electrical,2,Scope,single,11,Standard Circuit Run,Typical charger wiring,500,1500,1,,,,electrical-project,level-2-ev-charger,any
Electrical,electrical,2,Scope,single,12,Long or Difficult Run,Extended conduit and wiring,1500,3500,1,,,,electrical-project,level-2-ev-charger,any
Electrical,electrical,3,Optional Add Ons,multiple,1,Replace GFCI or AFCI Device,Update safety protection,180,500,1,,,,electrical-project,small-repair,any
Electrical,electrical,3,Optional Add Ons,multiple,2,Add Standard Outlet,One new outlet,150,350,1,,,,electrical-project,small-repair,any
Electrical,electrical,3,Optional Add Ons,multiple,3,Electrical Safety Inspection,Review panel and circuits,200,450,1,,,,electrical-project,small-repair,any
Electrical,electrical,3,Optional Add Ons,multiple,4,Smoke and CO Detector Wiring,Hardwired safety alarms,250,900,1,,,,electrical-project,small-repair,any
Electrical,electrical,3,Optional Add Ons,multiple,5,Additional Outlets,Add several outlets,250,1200,1,,,,electrical-project,room-updates,any
Electrical,electrical,3,Optional Add Ons,multiple,6,Recessed Lighting Package,Four to eight lights,1200,3500,1,,,,electrical-project,room-updates,any
Electrical,electrical,3,Optional Add Ons,multiple,7,Dedicated Appliance Circuit,New dedicated circuit,500,1500,1,,,,electrical-project,room-updates,any
Electrical,electrical,3,Optional Add Ons,multiple,8,Smart Switches or Dimmers,Lighting control upgrades,300,1200,1,,,,electrical-project,room-updates,any
Electrical,electrical,3,Optional Add Ons,multiple,9,Whole-Home Surge Protection,Panel surge device,350,900,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,3,Optional Add Ons,multiple,10,Grounding and Bonding Upgrade,Improve electrical safety,500,1800,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,3,Optional Add Ons,multiple,11,Generator Inlet and Interlock,Portable generator connection,900,2500,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,3,Optional Add Ons,multiple,12,Meter or Service Mast Work,Exterior service equipment,1200,4000,1,,,,electrical-project,panel-or-service-upgrade,any
Electrical,electrical,3,Optional Add Ons,multiple,13,Panel Capacity Upgrade,More capacity if required,1800,6000,1,,,,electrical-project,level-2-ev-charger,any
Electrical,electrical,3,Optional Add Ons,multiple,14,Smart Load Management,Avoid service overload,800,1800,1,,,,electrical-project,level-2-ev-charger,any
Electrical,electrical,3,Optional Add Ons,multiple,15,Outdoor Weatherproof Installation,Exterior charger location,400,1200,1,,,,electrical-project,level-2-ev-charger,any
Electrical,electrical,3,Optional Add Ons,multiple,16,Second EV Charging Circuit,Prepare for another vehicle,1200,3000,1,,,,electrical-project,level-2-ev-charger,any
Fencing,fencing,1,Fence Project,single,1,Fence Repair,Fix sections,400,1500,1,,,,,,
Fencing,fencing,1,Fence Project,single,2,Partial Fence,One side,1800,4800,1,,,,,,
Fencing,fencing,1,Fence Project,single,3,Full Fence,Yard fence,4500,7750,1,,,,,,
Fencing,fencing,2,Fence Material,single,1,Wood Fence,Standard wood,0,1500,1,fence-project,partial-fence|full-fence,any,,,
Fencing,fencing,2,Fence Material,single,2,Cedar Fence,Nicer wood,1200,3900,1,fence-project,partial-fence|full-fence,any,,,
Fencing,fencing,2,Fence Material,single,3,Vinyl Fence,Low maintenance,2200,6250,1,fence-project,partial-fence|full-fence,any,,,
Fencing,fencing,3,Fence Height,single,1,Standard Height,Typical height,0,500,1,fence-project,partial-fence|full-fence,any,,,
Fencing,fencing,3,Fence Height,single,2,Tall Fence,More privacy,800,3200,1,fence-project,partial-fence|full-fence,any,,,
Fencing,fencing,4,Optional Add Ons,multiple,1,Gate,One gate,250,800,1,fence-project,partial-fence|full-fence,any,fence-project,partial-fence|full-fence,any
Fencing,fencing,4,Optional Add Ons,multiple,2,Remove Old Fence,Demo fence,500,1800,1,fence-project,partial-fence|full-fence,any,fence-project,partial-fence|full-fence,any
Flooring,flooring,1,Flooring Project,single,1,One Room,Floor one room,600,1850,1,,,,,,
Flooring,flooring,1,Flooring Project,single,2,Several Rooms,Floor several connected rooms,2200,5000,1,,,,,,
Flooring,flooring,1,Flooring Project,single,3,Whole-Home Flooring,Replace flooring throughout,6500,12500,1,,,,,,
Flooring,flooring,2,Flooring Type,single,1,Vinyl Plank,Durable low-maintenance floor,0,2000,1,,,,,,
Flooring,flooring,2,Flooring Type,single,2,Laminate,Affordable wood-look floor,500,1850,1,,,,,,
Flooring,flooring,2,Flooring Type,single,3,Hardwood,Solid or engineered wood,3000,8500,1,,,,,,
Flooring,flooring,2,Flooring Type,single,4,Tile,Ceramic or porcelain tile,2200,6750,1,,,,,,
Flooring,flooring,2,Flooring Type,single,5,Carpet,Soft carpet flooring,0,1500,1,,,,,,
Flooring,flooring,3,Prep Level,single,1,Ready for Installation,No added floor preparation,0,0,1,,,,,,
Flooring,flooring,3,Prep Level,single,2,Minor Floor Prep,Small repairs or leveling,500,1500,1,,,,,,
Flooring,flooring,3,Prep Level,single,3,Major Floor Prep,Extensive repair or leveling,1500,4000,1,,,,,,
Flooring,flooring,4,Optional Add Ons,multiple,1,Remove Existing Flooring,Remove and dispose of old flooring,400,1600,1,,,,,,
Flooring,flooring,4,Optional Add Ons,multiple,2,Subfloor Repair,Repair damaged subfloor,700,2300,1,,,,,,
Flooring,flooring,4,Optional Add Ons,multiple,3,Floor Leveling,Correct uneven floor areas,600,1950,1,,,,,,
Flooring,flooring,4,Optional Add Ons,multiple,4,Enhanced Moisture Barrier,Upgrade underlayment protection,300,1200,1,,,,flooring-type,vinyl-plank|laminate|hardwood,any
Flooring,flooring,4,Optional Add Ons,multiple,5,Grout Sealing,Protect finished grout,250,800,1,,,,flooring-type,tile,any
Flooring,flooring,4,Optional Add Ons,multiple,6,Premium Carpet Pad,Upgrade comfort and durability,300,1200,1,,,,flooring-type,carpet,any
Foundation Repair,foundation-repair,1,Foundation Issue,single,1,Small Crack Repair,Minor crack,400,1300,1,,,,,,
Foundation Repair,foundation-repair,1,Foundation Issue,single,2,Water Intrusion,Leaks,1800,5000,1,,,,,,
Foundation Repair,foundation-repair,1,Foundation Issue,single,3,Settling Concern,Movement,4500,10750,1,,,,,,
Foundation Repair,foundation-repair,2,Repair Type,single,1,Seal One Crack,Repair one accessible crack,0,0,1,,,,foundation-issue,small-crack-repair,any
Foundation Repair,foundation-repair,2,Repair Type,single,2,Seal Several Cracks,Repair multiple cracks,400,1500,1,,,,foundation-issue,small-crack-repair,any
Foundation Repair,foundation-repair,2,Repair Type,single,3,Reinforce Damaged Area,Strengthen a limited wall area,1500,4500,1,,,,foundation-issue,small-crack-repair,any
Foundation Repair,foundation-repair,2,Repair Type,single,4,Interior Crack Sealing,Seal active interior leaks,0,1500,1,,,,foundation-issue,water-intrusion,any
Foundation Repair,foundation-repair,2,Repair Type,single,5,Interior Drain and Sump System,Collect and remove groundwater,3500,9000,1,,,,foundation-issue,water-intrusion,any
Foundation Repair,foundation-repair,2,Repair Type,single,6,Exterior Waterproofing,Excavate and waterproof outside,6000,15000,1,,,,foundation-issue,water-intrusion,any
Foundation Repair,foundation-repair,2,Repair Type,single,7,Stabilize One Area,Support a localized settling area,0,5000,1,,,,foundation-issue,settling-concern,any
Foundation Repair,foundation-repair,2,Repair Type,single,8,Multiple Support Points,Stabilize several foundation areas,6000,15000,1,,,,foundation-issue,settling-concern,any
Foundation Repair,foundation-repair,2,Repair Type,single,9,Major Structural Stabilization,Larger foundation support project,15000,35000,1,,,,foundation-issue,settling-concern,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,1,Additional Crack Repair,Repair another foundation crack,400,1500,1,,,,foundation-issue,small-crack-repair,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,2,Drainage Improvement,Improve water flow away from home,1200,5000,1,,,,foundation-issue,small-crack-repair|water-intrusion|settling-concern,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,3,Professional Structural Review,Document conditions and recommendations,600,2000,1,,,,foundation-issue,small-crack-repair|water-intrusion|settling-concern,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,4,Backup Sump Pump,Add backup water removal,800,2500,1,,,,foundation-issue,water-intrusion,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,5,Wall Moisture Treatment,Treat and protect interior walls,800,2500,1,,,,foundation-issue,water-intrusion,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,6,Foundation Wall Bracing,Add structural wall supports,3000,12000,1,,,,foundation-issue,settling-concern,any
Foundation Repair,foundation-repair,3,Optional Add Ons,multiple,7,Floor Leveling,Correct floors affected by movement,1500,6000,1,,,,foundation-issue,settling-concern,any
Garage Conversions,garage-conversions,1,Garage Size,single,1,Single Garage,One car,15000,23000,1,,,,,,
Garage Conversions,garage-conversions,1,Garage Size,single,2,Two Car Garage,Two car,22500,35000,1,,,,,,
Garage Conversions,garage-conversions,1,Garage Size,single,3,Large Garage,Bigger space,30500,47500,1,,,,,,
Garage Conversions,garage-conversions,2,Use Type,single,1,Office or Studio,Simple use,0,4000,1,,,,,,
Garage Conversions,garage-conversions,2,Use Type,single,2,Bedroom Space,Living space,6750,10500,1,,,,,,
